timestamp,order_id,symbol,side,type,price,quantity
1,1001,AAPL,BUY,LIMIT,150.25,100
2,1002,AAPL,SELL,LIMIT,150.20,50
3,1003,AAPL,SELL,LIMIT,150.30,200
4,1004,AAPL,BUY,LIMIT,150.10,300
5,1005,MSFT,BUY,LIMIT,320.00,100
6,1006,MSFT,SELL,LIMIT,319.90,80
7,1007,AAPL,BUY,MARKET,0,40
8,1008,AAPL,SELL,LIMIT,150.25,60
9,1009,AAPL,BUY,LIMIT,150.25,100
10,1010,TSLA,SELL,LIMIT,240.00,500
11,1011,TSLA,BUY,LIMIT,240.10,200
12,1012,TSLA,BUY,MARKET,0,100
13,1013,NVDA,BUY,LIMIT,800.00,50
14,1014,NVDA,SELL,LIMIT,799.50,30
15,1015,NVDA,BUY,LIMIT,799.50,70
